date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:57	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	D:/html%20and%20css%20,%20bootstrap/land/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
16:04:57	184433/184433	---M--	200	added ('OK')	image/jpeg	etag:%22e1063811eecbf3ebbc881597033955a1-ssl%22	https://meenakshi-realestate.netlify.app/img/page-title-4.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/page-title-4.jpg	(from https://meenakshi-realestate.netlify.app/style.css)
16:04:58	63717/63717	---M--	200	added ('OK')	image/jpeg	etag:%226ce9ac7ee6f90c56b4a4f44628215871-ssl%22	https://meenakshi-realestate.netlify.app/img/bpv-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/bpv-1.jpg	(from https://meenakshi-realestate.netlify.app/service)
16:04:59	69447/69447	---M--	200	added ('OK')	image/jpeg	etag:%22691b1a6453f71d6b1a25ea0e6beb2c0c-ssl%22	https://meenakshi-realestate.netlify.app/img/bpv-2.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/bpv-2.jpg	(from https://meenakshi-realestate.netlify.app/service)
16:04:59	34058/34058	---M--	200	added ('OK')	image/jpeg	etag:%22b25eff07d5653ee4c9cd28a37079f287-ssl%22	https://meenakshi-realestate.netlify.app/img/bpv-3.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/bpv-3.jpg	(from https://meenakshi-realestate.netlify.app/service)
16:05:00	48740/48740	---M--	200	added ('OK')	image/jpeg	etag:%22fbc61e074629353f34623c83272985fc-ssl%22	https://meenakshi-realestate.netlify.app/img/bpv-4.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/bpv-4.jpg	(from https://meenakshi-realestate.netlify.app/service)
16:05:00	82241/82241	---M--	200	added ('OK')	image/jpeg	etag:%227c229f838677df09c42788ee599b6b19-ssl%22	https://meenakshi-realestate.netlify.app/img/bpv-1-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/bpv-1-1.jpg	(from https://meenakshi-realestate.netlify.app/service)
16:05:01	75226/75226	---M--	200	added ('OK')	image/jpeg	etag:%228659ae6b455261737956e22bfbade3fd-ssl%22	https://meenakshi-realestate.netlify.app/img/bpv-1-2.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/bpv-1-2.jpg	(from https://meenakshi-realestate.netlify.app/service)
16:05:03	201187/201187	---M--	200	added ('OK')	image/jpeg	etag:%22d9c3547b339ddd269db97a69f20878d4-ssl%22	https://meenakshi-realestate.netlify.app/img/ser-1-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/ser-1-1.jpg	(from https://meenakshi-realestate.netlify.app/businessprocessverification)
16:05:03	576441/576441	---M--	200	added ('OK')	image/jpeg	etag:%22003f26cd0b07effeff50bc8cc2116a71-ssl%22	https://meenakshi-realestate.netlify.app/img/ser-1.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/ser-1.jpg	(from https://meenakshi-realestate.netlify.app/businessprocessverification)
16:05:04	345957/345957	---M--	200	added ('OK')	image/jpeg	etag:%2285f288dc1cffdc9fec33935a5530407e-ssl%22	https://meenakshi-realestate.netlify.app/img/ser-1-3.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/ser-1-3.jpg	(from https://meenakshi-realestate.netlify.app/businessprocessverification)
16:05:04	289704/289704	---M--	200	added ('OK')	image/jpeg	etag:%226350eeb779173fd75c34f7dcc0b6fc87-ssl%22	https://meenakshi-realestate.netlify.app/img/ser-1-2.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/ser-1-2.jpg	(from https://meenakshi-realestate.netlify.app/businessprocessverification)
16:05:05	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
16:05:05	271640/271640	---M--	200	added ('OK')	image/jpeg	etag:%22c819c37c1dc7eac4863877ee3e81bb8c-ssl%22	https://meenakshi-realestate.netlify.app/img/ser-1-5.jpg	D:/html%20and%20css%20,%20bootstrap/land/meenakshi-realestate.netlify.app/img/ser-1-5.jpg	(from https://meenakshi-realestate.netlify.app/businessprocessverification)
